id,started_at,ended_at,break_type,store_id,employee_id,created_at,updated_at,add_to_queue
2773,2022-01-06 10:43:33 +0100,2022-01-06 10:56:42 +0100,long,4,21,2022-01-06 10:43:33 +0100,2022-01-06 10:56:42 +0100,false
2774,2022-01-06 11:52:15 +0100,2022-01-06 12:00:16 +0100,short,4,21,2022-01-06 11:52:15 +0100,2022-01-06 12:00:16 +0100,false
2775,2022-01-06 11:56:05 +0100,2022-01-06 12:09:56 +0100,short,2,3,2022-01-06 11:56:08 +0100,2022-01-06 12:09:56 +0100,false
2776,2022-01-06 12:25:49 +0100,2022-01-06 13:01:05 +0100,long,3,22,2022-01-06 12:25:49 +0100,2022-01-06 13:01:05 +0100,false
2777,2022-01-06 13:34:05 +0100,2022-01-06 13:41:55 +0100,short,4,21,2022-01-06 13:34:06 +0100,2022-01-06 13:41:56 +0100,false
2778,2022-01-06 14:04:18 +0100,2022-01-06 14:05:07 +0100,short,5,19,2022-01-06 14:04:18 +0100,2022-01-06 14:05:07 +0100,false
2779,2022-01-06 15:16:13 +0100,2022-01-06 15:16:27 +0100,short,5,19,2022-01-06 15:16:13 +0100,2022-01-06 15:16:27 +0100,false
2780,2022-01-06 17:28:25 +0100,2022-01-06 17:37:54 +0100,short,4,8,2022-01-06 17:28:25 +0100,2022-01-06 17:37:54 +0100,false
2781,2022-01-06 17:48:19 +0100,2022-01-06 18:01:52 +0100,short,3,6,2022-01-06 17:48:19 +0100,2022-01-06 18:01:52 +0100,false
2782,2022-01-07 10:41:06 +0100,2022-01-07 10:50:28 +0100,short,4,8,2022-01-07 10:41:08 +0100,2022-01-07 10:50:28 +0100,false
2783,2022-01-07 12:45:36 +0100,2022-01-07 13:14:47 +0100,long,4,8,2022-01-07 12:45:38 +0100,2022-01-07 13:14:49 +0100,false
2784,2022-01-07 13:02:36 +0100,2022-01-07 13:06:05 +0100,short,4,21,2022-01-07 13:02:36 +0100,2022-01-07 13:06:05 +0100,false
2785,2022-01-07 13:23:53 +0100,2022-01-07 13:25:43 +0100,short,4,21,2022-01-07 13:23:53 +0100,2022-01-07 13:25:44 +0100,false
2786,2022-01-07 13:25:47 +0100,2022-01-07 13:26:03 +0100,long,4,21,2022-01-07 13:25:47 +0100,2022-01-07 13:26:03 +0100,false
2787,2022-01-07 13:26:05 +0100,2022-01-07 13:33:11 +0100,short,4,21,2022-01-07 13:26:05 +0100,2022-01-07 13:33:12 +0100,false
2788,2022-01-07 13:32:13 +0100,2022-01-07 13:47:16 +0100,short,2,5,2022-01-07 13:32:15 +0100,2022-01-07 13:47:18 +0100,false
2789,2022-01-07 14:52:41 +0100,2022-01-07 14:58:26 +0100,short,4,21,2022-01-07 14:52:41 +0100,2022-01-07 14:58:26 +0100,false
2790,2022-01-07 14:55:10 +0100,2022-01-07 15:20:51 +0100,long,3,6,2022-01-07 14:55:10 +0100,2022-01-07 15:20:52 +0100,false
2791,2022-01-07 15:20:53 +0100,2022-01-07 15:34:15 +0100,long,3,6,2022-01-07 15:20:53 +0100,2022-01-07 15:34:15 +0100,false
2792,2022-01-07 15:50:36 +0100,2022-01-07 15:58:03 +0100,short,4,21,2022-01-07 15:50:36 +0100,2022-01-07 15:58:03 +0100,false
2793,2022-01-07 15:52:24 +0100,2022-01-07 15:58:12 +0100,short,3,8,2022-01-07 15:52:24 +0100,2022-01-07 15:58:12 +0100,false
2794,2022-01-07 16:32:59 +0100,2022-01-07 16:47:28 +0100,long,4,21,2022-01-07 16:32:59 +0100,2022-01-07 16:47:28 +0100,false
2795,2022-01-07 17:44:45 +0100,2022-01-07 17:47:55 +0100,short,2,3,2022-01-07 17:44:45 +0100,2022-01-07 17:47:55 +0100,false
2796,2022-01-07 18:19:13 +0100,2022-01-07 18:21:06 +0100,short,5,16,2022-01-07 18:19:13 +0100,2022-01-07 18:21:06 +0100,false
2797,2022-01-07 18:35:45 +0100,2022-01-07 18:35:53 +0100,short,4,21,2022-01-07 18:35:47 +0100,2022-01-07 18:35:56 +0100,false
2798,2022-01-07 18:36:24 +0100,2022-01-07 18:42:55 +0100,short,4,21,2022-01-07 18:36:24 +0100,2022-01-07 18:42:55 +0100,false
2799,2022-01-07 18:48:29 +0100,2022-01-07 18:48:33 +0100,short,3,6,2022-01-07 18:48:29 +0100,2022-01-07 18:48:33 +0100,false
2800,2022-01-08 08:58:31 +0100,2022-01-08 08:59:02 +0100,short,3,8,2022-01-08 08:58:31 +0100,2022-01-08 08:59:02 +0100,false
2801,2022-01-08 10:49:42 +0100,2022-01-08 11:09:08 +0100,long,4,21,2022-01-08 10:49:42 +0100,2022-01-08 11:09:08 +0100,false
2802,2022-01-08 12:29:04 +0100,2022-01-08 12:36:24 +0100,short,4,21,2022-01-08 12:29:04 +0100,2022-01-08 12:36:24 +0100,false
2803,2022-01-08 14:00:02 +0100,2022-01-08 14:08:04 +0100,short,4,21,2022-01-08 14:00:02 +0100,2022-01-08 14:08:04 +0100,false
2804,2022-01-08 14:28:38 +0100,2022-01-08 14:30:57 +0100,long,3,8,2022-01-08 14:28:38 +0100,2022-01-08 14:30:57 +0100,false
2805,2022-01-08 15:53:35 +0100,2022-01-08 16:02:20 +0100,short,4,21,2022-01-08 15:53:35 +0100,2022-01-08 16:02:20 +0100,false
2806,2022-01-08 16:55:03 +0100,2022-01-08 17:06:28 +0100,long,4,21,2022-01-08 16:55:04 +0100,2022-01-08 17:06:28 +0100,false
2807,2022-01-08 18:46:21 +0100,2022-01-08 18:53:28 +0100,short,4,21,2022-01-08 18:46:21 +0100,2022-01-08 18:53:28 +0100,false
2808,2022-01-08 19:19:51 +0100,2022-01-08 19:28:43 +0100,short,4,21,2022-01-08 19:19:52 +0100,2022-01-08 19:28:43 +0100,false
2809,2022-01-10 10:51:31 +0100,2022-01-10 10:51:35 +0100,long,4,8,2022-01-10 10:51:31 +0100,2022-01-10 10:51:35 +0100,false
2810,2022-01-10 10:51:44 +0100,2022-01-10 10:51:55 +0100,long,4,7,2022-01-10 10:51:44 +0100,2022-01-10 10:51:55 +0100,false
2811,2022-01-10 10:51:50 +0100,2022-01-10 10:51:57 +0100,short,4,8,2022-01-10 10:51:50 +0100,2022-01-10 10:51:57 +0100,false
2812,2022-01-10 11:41:54 +0100,2022-01-10 11:42:47 +0100,short,3,12,2022-01-10 11:41:54 +0100,2022-01-10 11:42:47 +0100,false
2813,2022-01-10 12:15:43 +0100,2022-01-10 12:26:51 +0100,short,4,8,2022-01-10 12:15:45 +0100,2022-01-10 12:26:54 +0100,false
2814,2022-01-10 13:00:49 +0100,2022-01-10 13:00:57 +0100,short,3,6,2022-01-10 13:00:49 +0100,2022-01-10 13:00:57 +0100,false
2815,2022-01-10 13:36:21 +0100,2022-01-10 13:36:32 +0100,short,3,6,2022-01-10 13:36:23 +0100,2022-01-10 13:36:32 +0100,false
2816,2022-01-10 14:18:45 +0100,2022-01-10 14:21:45 +0100,short,3,12,2022-01-10 14:18:45 +0100,2022-01-10 14:21:45 +0100,false
2817,2022-01-10 14:54:33 +0100,2022-01-10 15:21:50 +0100,long,4,8,2022-01-10 14:54:36 +0100,2022-01-10 15:21:52 +0100,false
2818,2022-01-10 16:08:10 +0100,2022-01-10 16:08:14 +0100,short,3,12,2022-01-10 16:08:10 +0100,2022-01-10 16:08:14 +0100,false
2819,2022-01-10 16:08:19 +0100,2022-01-10 16:40:37 +0100,long,3,12,2022-01-10 16:08:20 +0100,2022-01-10 16:40:37 +0100,false
2820,2022-01-10 17:35:16 +0100,2022-01-10 17:38:10 +0100,short,5,16,2022-01-10 17:35:16 +0100,2022-01-10 17:38:10 +0100,false
2821,2022-01-10 18:31:48 +0100,2022-01-10 18:31:51 +0100,short,5,16,2022-01-10 18:31:48 +0100,2022-01-10 18:31:51 +0100,false
2822,2022-01-10 18:31:52 +0100,2022-01-10 18:31:55 +0100,long,5,16,2022-01-10 18:31:53 +0100,2022-01-10 18:31:55 +0100,false
2823,2022-01-10 18:37:05 +0100,2022-01-10 18:37:20 +0100,short,5,16,2022-01-10 18:37:05 +0100,2022-01-10 18:37:20 +0100,false
2824,2022-01-10 18:38:01 +0100,2022-01-10 18:39:39 +0100,short,5,16,2022-01-10 18:38:01 +0100,2022-01-10 18:39:40 +0100,false
2825,2022-01-11 10:10:55 +0100,2022-01-11 10:17:11 +0100,short,4,21,2022-01-11 10:10:57 +0100,2022-01-11 10:17:14 +0100,false
2826,2022-01-11 10:34:51 +0100,2022-01-11 10:53:02 +0100,long,3,12,2022-01-11 10:34:51 +0100,2022-01-11 10:53:02 +0100,false
2827,2022-01-11 11:27:55 +0100,2022-01-11 11:56:19 +0100,long,3,12,2022-01-11 11:27:55 +0100,2022-01-11 11:56:19 +0100,false
2828,2022-01-11 11:44:37 +0100,2022-01-11 12:00:47 +0100,long,4,21,2022-01-11 11:44:39 +0100,2022-01-11 12:00:49 +0100,false
2829,2022-01-11 12:46:23 +0100,2022-01-11 12:47:54 +0100,short,5,8,2022-01-11 12:46:23 +0100,2022-01-11 12:47:54 +0100,false
2830,2022-01-11 13:12:43 +0100,2022-01-11 13:22:35 +0100,short,4,21,2022-01-11 13:12:45 +0100,2022-01-11 13:22:37 +0100,false
2831,2022-01-11 14:11:55 +0100,2022-01-11 14:16:37 +0100,short,3,12,2022-01-11 14:11:55 +0100,2022-01-11 14:16:37 +0100,false
2832,2022-01-11 14:49:55 +0100,2022-01-11 15:21:05 +0100,long,5,16,2022-01-11 14:49:55 +0100,2022-01-11 15:21:05 +0100,false
2833,2022-01-11 17:22:04 +0100,2022-01-11 17:30:42 +0100,short,4,8,2022-01-11 17:22:06 +0100,2022-01-11 17:30:45 +0100,false
2834,2022-01-11 18:38:51 +0100,2022-01-11 19:27:27 +0100,long,5,16,2022-01-11 18:38:51 +0100,2022-01-11 19:27:27 +0100,false
2835,2022-01-12 12:13:55 +0100,2022-01-12 12:20:32 +0100,short,3,12,2022-01-12 12:13:55 +0100,2022-01-12 12:20:34 +0100,false
2836,2022-01-12 12:53:31 +0100,2022-01-12 13:17:39 +0100,long,3,12,2022-01-12 12:53:31 +0100,2022-01-12 13:17:41 +0100,false
2837,2022-01-12 13:25:12 +0100,2022-01-12 13:41:07 +0100,short,3,12,2022-01-12 13:25:14 +0100,2022-01-12 13:41:07 +0100,false
2838,2022-01-12 13:56:54 +0100,2022-01-12 14:02:58 +0100,short,4,21,2022-01-12 13:56:56 +0100,2022-01-12 14:03:00 +0100,false
2839,2022-01-12 14:39:24 +0100,2022-01-12 15:02:04 +0100,long,3,9,2022-01-12 14:39:24 +0100,2022-01-12 15:02:06 +0100,false
2840,2022-01-12 15:09:24 +0100,2022-01-12 15:18:26 +0100,short,4,21,2022-01-12 15:09:24 +0100,2022-01-12 15:18:29 +0100,false
2841,2022-01-12 16:06:51 +0100,2022-01-12 16:22:51 +0100,long,4,21,2022-01-12 16:06:51 +0100,2022-01-12 16:22:51 +0100,false
2842,2022-01-12 16:23:04 +0100,2022-01-12 16:28:30 +0100,short,3,9,2022-01-12 16:23:06 +0100,2022-01-12 16:28:33 +0100,false
2843,2022-01-12 16:36:18 +0100,2022-01-12 16:41:42 +0100,short,5,8,2022-01-12 16:36:18 +0100,2022-01-12 16:41:42 +0100,false
2844,2022-01-12 17:50:38 +0100,2022-01-12 18:00:02 +0100,short,4,21,2022-01-12 17:50:40 +0100,2022-01-12 18:00:04 +0100,false
2845,2022-01-12 18:16:10 +0100,2022-01-12 18:20:15 +0100,short,3,9,2022-01-12 18:16:10 +0100,2022-01-12 18:20:17 +0100,false
2846,2022-01-12 18:57:16 +0100,2022-01-12 19:04:31 +0100,short,4,21,2022-01-12 18:57:18 +0100,2022-01-12 19:04:33 +0100,false
2847,2022-01-12 19:40:11 +0100,2022-01-12 19:48:05 +0100,long,4,21,2022-01-12 19:40:11 +0100,2022-01-12 19:48:05 +0100,false
2848,2022-01-13 10:28:30 +0100,2022-01-13 10:34:44 +0100,short,4,21,2022-01-13 10:28:32 +0100,2022-01-13 10:34:46 +0100,false
2849,2022-01-13 11:38:35 +0100,2022-01-13 11:40:38 +0100,short,3,9,2022-01-13 11:38:38 +0100,2022-01-13 11:40:40 +0100,false
2850,2022-01-13 11:57:12 +0100,2022-01-13 11:57:36 +0100,short,5,16,2022-01-13 11:57:12 +0100,2022-01-13 11:57:36 +0100,false
2851,2022-01-13 12:05:51 +0100,2022-01-13 12:20:54 +0100,long,4,21,2022-01-13 12:05:53 +0100,2022-01-13 12:20:56 +0100,false
2852,2022-01-13 12:12:08 +0100,2022-01-13 12:12:39 +0100,short,3,9,2022-01-13 12:12:08 +0100,2022-01-13 12:12:39 +0100,false
2853,2022-01-13 12:48:27 +0100,2022-01-13 13:47:59 +0100,short,5,16,2022-01-13 12:48:27 +0100,2022-01-13 13:47:59 +0100,false
2854,2022-01-13 13:00:27 +0100,2022-01-13 14:29:55 +0100,long,3,9,2022-01-13 13:00:27 +0100,2022-01-13 14:29:55 +0100,false
2855,2022-01-13 13:17:52 +0100,2022-01-13 13:27:27 +0100,short,4,21,2022-01-13 13:17:54 +0100,2022-01-13 13:27:29 +0100,false
2856,2022-01-13 14:46:55 +0100,2022-01-13 14:47:07 +0100,long,2,3,2022-01-13 14:46:55 +0100,2022-01-13 14:47:07 +0100,false
2857,2022-01-13 14:47:50 +0100,2022-01-13 14:54:22 +0100,short,4,21,2022-01-13 14:47:50 +0100,2022-01-13 14:54:22 +0100,false
2858,2022-01-13 15:19:37 +0100,2022-01-13 15:21:09 +0100,short,3,6,2022-01-13 15:19:37 +0100,2022-01-13 15:21:09 +0100,false
2859,2022-01-13 15:19:39 +0100,2022-01-13 15:21:06 +0100,short,3,9,2022-01-13 15:19:39 +0100,2022-01-13 15:21:06 +0100,false
2860,2022-01-13 16:18:23 +0100,2022-01-13 16:32:14 +0100,long,4,21,2022-01-13 16:18:23 +0100,2022-01-13 16:32:14 +0100,false
2861,2022-01-13 17:34:36 +0100,2022-01-13 17:42:11 +0100,short,4,21,2022-01-13 17:34:36 +0100,2022-01-13 17:42:12 +0100,false
2862,2022-01-13 17:55:21 +0100,2022-01-13 17:55:26 +0100,short,4,21,2022-01-13 17:55:21 +0100,2022-01-13 17:55:26 +0100,false
2863,2022-01-13 17:55:32 +0100,2022-01-13 17:55:34 +0100,short,4,21,2022-01-13 17:55:32 +0100,2022-01-13 17:55:34 +0100,false
2864,2022-01-13 18:02:32 +0100,2022-01-13 18:03:31 +0100,short,4,21,2022-01-13 18:02:34 +0100,2022-01-13 18:03:33 +0100,false
2865,2022-01-13 18:40:38 +0100,2022-01-13 18:46:25 +0100,short,3,6,2022-01-13 18:40:38 +0100,2022-01-13 18:46:26 +0100,false
2866,2022-01-13 18:48:50 +0100,2022-01-13 18:56:02 +0100,short,4,21,2022-01-13 18:48:50 +0100,2022-01-13 18:56:07 +0100,false
2867,2022-01-13 19:26:12 +0100,2022-01-13 19:32:40 +0100,short,4,21,2022-01-13 19:26:16 +0100,2022-01-13 19:32:40 +0100,false
2868,2022-01-14 10:04:25 +0100,2022-01-14 10:13:48 +0100,short,4,20,2022-01-14 10:04:25 +0100,2022-01-14 10:13:48 +0100,false
2869,2022-01-14 11:23:29 +0100,2022-01-14 11:29:36 +0100,short,3,6,2022-01-14 11:23:29 +0100,2022-01-14 11:29:36 +0100,false
2870,2022-01-14 11:39:22 +0100,2022-01-14 11:47:03 +0100,short,4,20,2022-01-14 11:39:22 +0100,2022-01-14 11:47:03 +0100,false
2871,2022-01-14 12:00:41 +0100,2022-01-14 12:01:13 +0100,short,3,9,2022-01-14 12:00:41 +0100,2022-01-14 12:01:13 +0100,false
2872,2022-01-14 13:27:22 +0100,2022-01-14 13:27:53 +0100,short,5,8,2022-01-14 13:27:22 +0100,2022-01-14 13:27:54 +0100,false
2873,2022-01-14 13:57:44 +0100,2022-01-14 13:57:51 +0100,short,2,5,2022-01-14 13:57:45 +0100,2022-01-14 13:57:51 +0100,false
2874,2022-01-14 13:58:10 +0100,2022-01-14 13:58:26 +0100,short,3,9,2022-01-14 13:58:10 +0100,2022-01-14 13:58:26 +0100,false
2875,2022-01-14 13:58:43 +0100,2022-01-14 13:59:36 +0100,short,3,9,2022-01-14 13:58:43 +0100,2022-01-14 13:59:37 +0100,false
2876,2022-01-14 13:59:04 +0100,2022-01-14 13:59:39 +0100,short,3,6,2022-01-14 13:59:04 +0100,2022-01-14 13:59:39 +0100,false
2877,2022-01-14 14:27:10 +0100,2022-01-14 14:29:37 +0100,long,4,20,2022-01-14 14:27:10 +0100,2022-01-14 14:29:39 +0100,false
2878,2022-01-14 14:51:06 +0100,2022-01-14 14:52:42 +0100,short,4,20,2022-01-14 14:51:06 +0100,2022-01-14 14:52:42 +0100,false
2879,2022-01-14 14:53:05 +0100,2022-01-14 14:53:10 +0100,short,3,6,2022-01-14 14:53:05 +0100,2022-01-14 14:53:10 +0100,false
2880,2022-01-14 15:06:53 +0100,2022-01-14 15:14:01 +0100,short,3,6,2022-01-14 15:06:53 +0100,2022-01-14 15:14:01 +0100,false
2881,2022-01-14 15:36:11 +0100,2022-01-14 16:11:09 +0100,long,3,9,2022-01-14 15:36:11 +0100,2022-01-14 16:11:09 +0100,false
2882,2022-01-14 17:02:22 +0100,2022-01-14 17:16:42 +0100,long,4,21,2022-01-14 17:02:24 +0100,2022-01-14 17:16:44 +0100,false
2883,2022-01-14 17:52:40 +0100,2022-01-14 17:53:32 +0100,short,3,22,2022-01-14 17:52:40 +0100,2022-01-14 17:53:32 +0100,false
2884,2022-01-14 18:24:32 +0100,2022-01-14 18:31:20 +0100,short,4,21,2022-01-14 18:24:34 +0100,2022-01-14 18:31:22 +0100,false
2885,2022-01-14 19:03:02 +0100,2022-01-14 19:08:17 +0100,short,3,9,2022-01-14 19:03:02 +0100,2022-01-14 19:08:17 +0100,false
2886,2022-01-14 19:12:14 +0100,2022-01-14 19:22:53 +0100,short,4,21,2022-01-14 19:12:16 +0100,2022-01-14 19:22:55 +0100,false
2887,2022-01-15 10:22:17 +0100,2022-01-15 10:47:19 +0100,short,3,6,2022-01-15 10:22:17 +0100,2022-01-15 10:47:19 +0100,false
2888,2022-01-15 10:56:31 +0100,2022-01-15 11:01:43 +0100,short,3,6,2022-01-15 10:56:33 +0100,2022-01-15 11:01:45 +0100,false
2889,2022-01-15 11:17:58 +0100,2022-01-15 11:19:16 +0100,short,5,19,2022-01-15 11:18:00 +0100,2022-01-15 11:19:18 +0100,false
2890,2022-01-15 11:20:43 +0100,2022-01-15 11:20:47 +0100,short,3,6,2022-01-15 11:20:43 +0100,2022-01-15 11:20:47 +0100,false
2891,2022-01-15 12:09:29 +0100,2022-01-15 12:10:13 +0100,short,5,16,2022-01-15 12:09:31 +0100,2022-01-15 12:10:15 +0100,false
2892,2022-01-15 12:30:03 +0100,2022-01-15 12:30:13 +0100,short,5,16,2022-01-15 12:30:05 +0100,2022-01-15 12:30:15 +0100,false
2893,2022-01-15 12:35:35 +0100,2022-01-15 12:38:28 +0100,short,5,16,2022-01-15 12:35:37 +0100,2022-01-15 12:38:30 +0100,false
2894,2022-01-15 12:38:37 +0100,2022-01-15 12:38:48 +0100,short,5,19,2022-01-15 12:38:40 +0100,2022-01-15 12:38:50 +0100,false
2895,2022-01-15 12:38:41 +0100,2022-01-15 12:38:53 +0100,short,5,16,2022-01-15 12:38:44 +0100,2022-01-15 12:38:55 +0100,false
2896,2022-01-15 12:41:01 +0100,2022-01-15 12:41:22 +0100,short,5,16,2022-01-15 12:41:03 +0100,2022-01-15 12:41:24 +0100,false
2897,2022-01-15 12:41:06 +0100,2022-01-15 12:41:18 +0100,short,5,19,2022-01-15 12:41:08 +0100,2022-01-15 12:41:21 +0100,false
2898,2022-01-15 13:22:43 +0100,2022-01-15 13:36:35 +0100,long,3,6,2022-01-15 13:22:43 +0100,2022-01-15 13:36:35 +0100,false
2899,2022-01-15 13:50:33 +0100,2022-01-15 14:03:56 +0100,long,4,20,2022-01-15 13:50:34 +0100,2022-01-15 14:03:56 +0100,false
2900,2022-01-15 14:31:09 +0100,2022-01-15 14:33:18 +0100,short,3,6,2022-01-15 14:31:10 +0100,2022-01-15 14:33:18 +0100,false
2901,2022-01-15 14:59:52 +0100,2022-01-15 15:39:10 +0100,long,3,9,2022-01-15 14:59:55 +0100,2022-01-15 15:39:12 +0100,false
2902,2022-01-15 15:07:14 +0100,2022-01-15 15:11:21 +0100,short,5,16,2022-01-15 15:07:14 +0100,2022-01-15 15:11:21 +0100,false
2903,2022-01-15 15:42:33 +0100,2022-01-15 15:51:17 +0100,short,2,8,2022-01-15 15:42:33 +0100,2022-01-15 15:51:19 +0100,false
2904,2022-01-15 15:45:54 +0100,2022-01-15 15:54:46 +0100,short,3,6,2022-01-15 15:45:56 +0100,2022-01-15 15:54:48 +0100,false
2905,2022-01-15 16:00:39 +0100,2022-01-15 16:09:26 +0100,short,4,21,2022-01-15 16:00:39 +0100,2022-01-15 16:09:26 +0100,false
2906,2022-01-15 16:33:32 +0100,2022-01-15 16:42:41 +0100,long,4,21,2022-01-15 16:33:32 +0100,2022-01-15 16:42:41 +0100,false
2907,2022-01-15 18:13:48 +0100,2022-01-15 18:22:38 +0100,short,4,21,2022-01-15 18:13:48 +0100,2022-01-15 18:22:39 +0100,false
2908,2022-01-17 09:31:30 +0100,2022-01-17 09:32:32 +0100,long,4,8,2022-01-17 09:31:32 +0100,2022-01-17 09:32:34 +0100,false
2909,2022-01-17 09:33:33 +0100,2022-01-17 09:34:07 +0100,short,4,8,2022-01-17 09:33:35 +0100,2022-01-17 09:34:09 +0100,false
2910,2022-01-17 09:35:06 +0100,2022-01-17 09:35:31 +0100,short,4,8,2022-01-17 09:35:08 +0100,2022-01-17 09:35:33 +0100,false
2911,2022-01-17 09:46:09 +0100,2022-01-17 10:05:50 +0100,long,4,8,2022-01-17 09:46:11 +0100,2022-01-17 10:05:52 +0100,false
2912,2022-01-17 10:14:07 +0100,2022-01-17 10:14:12 +0100,short,4,8,2022-01-17 10:14:09 +0100,2022-01-17 10:14:14 +0100,false
2913,2022-01-17 11:17:59 +0100,2022-01-17 11:25:58 +0100,short,5,18,2022-01-17 11:18:03 +0100,2022-01-17 11:26:02 +0100,false
2914,2022-01-17 12:24:12 +0100,2022-01-17 12:24:24 +0100,short,3,6,2022-01-17 12:24:12 +0100,2022-01-17 12:24:24 +0100,false
2915,2022-01-17 13:27:45 +0100,2022-01-17 13:38:12 +0100,short,2,19,2022-01-17 13:27:45 +0100,2022-01-17 13:38:12 +0100,false
